pkg_Title_ID	Region	Title_RIF_Missing	pkg_link	License	pkg_Content_ID			pkg_File_Size
NPED00070	EU	[*RAP MISSING][PS2]Grand Theft Auto: San Andreas     [ID:NPED00070-GGRANDTHEF000FRE]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00070_00/WoEqppQlMnTpXEvyldkJlFTkqKcXacEJQBwVnbGQkFIEHIHXupDACDibBMcQiIpx.pkg	UNLOCK BY RIF	EP1004-NPED00070_00-GGRANDTHEF000FRE			4548981632
NPED00070	EU	[PS2]Grand Theft Auto: San Andreas     [ID:NPED00070-GGRANDTHEF000ITA]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00070_00/SnazHyqxZPlWEWwGmQaGCXGNCfkHsrKRAeYZDdOyuGRhRkGpopLXlGlkOLnISVyJ.pkg	c38a21bc2944d18f8d202ae73ff02e69	EP1004-NPED00070_00-GGRANDTHEF000ITA			4548976880
NPED00070	EU	[PS2]Grand Theft Auto: San Andreas     [ID:NPED00070-GGRANDTHEF000USK]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00070_00/boToieFBwQhFtXwKRSMTCWqzEmsAbnirzipUEpbmdcDRNJNIGdANkPGwaaMaZtEu.pkg	3db254bc7da4ec5f4d6a2b58d0a2febf	EP1004-NPED00070_00-GGRANDTHEF000USK			4546660384
NPED00070	EU	[PS2]Grand Theft Auto: San Andreas     [ID:NPED00070-GGRANDTHEF000USK]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00070_00/FMYgnqpAiyPxDoCBBvHsUuIpkOfmIqMyxYWtROYKcvviRxearoTMcTABNBHmDDiP.pkg	3db254bc7da4ec5f4d6a2b58d0a2febf	EP1004-NPED00070_00-GGRANDTHEF000USK			4528244768
NPED00121	EU	[*RAP MISSING][PS2]Grand Theft Auto: Vice City     [ID:NPED00121-GGRANDTHEF000ANZ]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00121_00/XnmahAeWXwslcULuwTXzWxvFLibOmVoPzytjoNhEDCYviVfroJeOvAdSSBaQyXZO.pkg	UNLOCK BY RIF	EP1004-NPED00121_00-GGRANDTHEF000ANZ			4598388992
NPED00121	EU	[*RAP MISSING][PS2]Grand Theft Auto: Vice City     [ID:NPED00121-GGRANDTHEF000ENG]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00121_00/eEKoqWOIjibhMRkeSuiBrtLUXcxbYwZCVKCqIZzFIzPtQumMNHblVVviDaHceibk.pkg	UNLOCK BY RIF	EP1004-NPED00121_00-GGRANDTHEF000ENG			4598388992
NPED00145	EU	[PS2]Max Payne     [ID:NPED00145-GMAXPAYNEX000ENG]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00145_00/rHwahUrDEQSPHdxsPwnyKywzwXYdevJqyzFWfHyFwwDNdyqIsDjSygSBiExFbnby.pkg	393051fa9d5335d5019512a08ca96f09	EP1004-NPED00145_00-GMAXPAYNEX000ENG			4348495184
NPED00145	EU	[PS2]Max Payne     [ID:NPED00145-GMAXPAYNEX000GER]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00145_00/BkVmdajSHTzWNORgEcGYSYsDCuOHeiYlKqMLbsVusOtqCipZMfBDruJLNCKesKLe.pkg	0b875e43bd15127b8d4a820f0340b3bc	EP1004-NPED00145_00-GMAXPAYNEX000GER			4348543776
NPED00233	EU	[*RAP MISSING][PS2]Canis Canem Edit     [ID:NPED00233-GCANISCANE000FRE]	http://zeus.dl.playstation.net/cdn/EP1004/NPED00233_00/KhVqrogIjBLBqVvTcedzlyUBEGwqKRsHlYwIOAnGupuHPgqgEKNOzYrNftwIZrPr.pkg	UNLOCK BY RIF	EP1004-NPED00233_00-GCANISCANE000FRE			4665480656
NPED00094	EU	[*RAP MISSING][PS2]Disney/Pixar Cars Mater-National     [ID:NPED00094-GCARSMATER000ENG]	http://zeus.dl.playstation.net/cdn/EP1006/NPED00094_00/hkJarWPUqNvNuCSDZkAnDtaptUnlTIYYLzgFNwdmNDtLGMNlvFQfsRXCtIwdEcgG.pkg	UNLOCK BY RIF	EP1006-NPED00094_00-GCARSMATER000ENG			3408027328
