content_id	license	date_added	verified
EP0001-BLES02061_00-ACCULCPS30000001	0f51826cea2694c24d79477a79037ee0	2020/01/01	1
EP0001-BLES02061_00-ACCULCPS30000003	8084e1cf20f70574a8d04564d68f86ad	2020/01/01	1
EP0001-BLES02061_00-ACCULCPS30000004	4817359083abe5cc078fa5788c9d9d3c	2020/01/01	1
EP0001-BLES02061_00-ACCULCPS30000005	69c98e41cf66833055a2eb15cee1d122	2020/01/01	1
EP0001-BLES02061_00-ACCULCPS30000006	3e57276b77d7e74cb973eed1e1924dda	2020/01/01	1
EP0001-BLET70013_00-ACBROTHERHOOD00B	c915d6e6e73e46fcca0528974439fc44	2020/01/01	1
EP0001-BLET70017_00-ACREVELATIONS00B	4020275da196e3c61e56eb8134ec6539	2020/01/01	1
EP0001-NPEB00032_00-POPPS3PACKAGE001	14d61f4f4b3b60c3121545a8d6e46a4f	2020/01/01	1
EP0001-NPEB00183_00-GAMEPURCHASE0002	3d5705dd89ae496a28fa5884d3cda9cf	2020/01/01	1
EP0001-NPEB00258_00-SCOTTPILGRIM0002	11c2425774c6361f7284f9586d0d9455	2020/01/01	1
EP0001-NPEB00341_00-POPSANDSOFTIMEEE	9b8bce27a68bbe981a6a1c7c8c677067	2020/01/01	1
EP0001-NPEB00389_00-POPWARRIORWITHIN	3364957d4e4e3da9b5f29382e963fe3b	2020/01/01	1
EP0001-NPEB00390_00-POPTHETWOTHRONES	649ea30f0a84d16e567a26da88916e19	2020/01/01	1
EP0001-NPEB00393_00-ASSASSINSCREPKG1	29780185815679112c3cd82ad5181e96	2020/01/01	1
EP0001-NPEB00394_00-VEGAS2PS3REMPKG1	cf611289e14392849b22891cc0b6eedb	2020/01/01	1
EP0001-NPEB00435_00-BEYONDGANDEKEY01	1b7822cb1e0c88cb147a3181375cb9d7	2020/01/01	1
EP0001-NPEB00462_00-ASSASSINS2BLURAY	ba601fc2b5df65d09ecb39bc469bdb2b	2020/01/01	1
EP0001-NPEB00463_00-OUTLAND0PURCHASE	73f55ee91532ec6a009e6c15fce2a6ef	2020/01/01	1
EP0001-NPEB00466_00-FROMDUSTLICENCE0	ee998ae1ffd5406775070c1458df681d	2020/01/01	1
EP0001-NPEB00476_00-IAMALIVELICENSE1	f39553fc14b09e108d796b030fbf9891	2020/01/01	1
EP0001-NPEB00527_00-SPLINTERCELLSC00	e98435145307f096fb6614003afcb2e3	2020/01/01	1
EP0001-NPEB00528_00-SPLINTERCELLSCPT	a701258bed7f341584ee15c936d1b40f	2020/01/01	1
EP0001-NPEB00532_00-COJBIB0000000001	d9bc2839bd018c4fc585445b5173529f	2020/01/01	1
EP0001-NPEB00557_00-SPLINTERCELLSCCT	f91b35e297951a55e9aabe04cdef1f8e	2020/01/01	1
EP0001-NPEB00560_00-GRAW2PS3REMPKG01	b2fa14c7720cc47d6e5431163776358d	2020/01/01	1
EP0001-NPEB00599_00-FC2ORIGS3REMPKG1	6ef2f0c2ddd5057cccdafc3e771f28d3	2020/01/01	1
EP0001-NPEB00600_00-ACBROTPS3REMPKG1	7404cd5b56d98b61aec969fd8288bae4	2020/01/01	1
EP0001-NPEB00632_00-DRIVERSFPS3PKG01	c78f9435b7c7317a131d15c9997d4329	2020/01/01	1
EP0001-NPEB00649_00-COEPKG0020110806	0f27837ab5a09a978ad980a2719b64a5	2020/01/01	1
